event_id,type_of_events
17246,"courses_training_or_mentoring"
17245,"courses_training_or_mentoring"
17244,"courses_training_or_mentoring"
17243,"courses_training_or_mentoring"
17242,"courses_training_or_mentoring"
17241,"courses_training_or_mentoring"
17240,"courses_training_or_mentoring"
17239,"courses_training_or_mentoring"
17238,"courses_training_or_mentoring"
17237,"courses_training_or_mentoring"
17236,"courses_training_or_mentoring"
17235,"courses_training_or_mentoring"
17234,"courses_training_or_mentoring"
17233,"courses_training_or_mentoring"
17232,"courses_training_or_mentoring"
17231,"courses_training_or_mentoring"
17230,"christian"
17229,"courses_training_or_mentoring"
17228,"courses_training_or_mentoring"
17227,"courses_training_or_mentoring"
17226,"christian"
17225,"courses_training_or_mentoring"
17224,"courses_training_or_mentoring"
17223,"courses_training_or_mentoring"
17222,"christian"
17221,"christian"
17220,"courses_training_or_mentoring"
17219,"courses_training_or_mentoring"
17218,"courses_training_or_mentoring"
17217,"courses_training_or_mentoring"
17216,"christian"
17215,"courses_training_or_mentoring"
17214,"courses_training_or_mentoring"
17213,"courses_training_or_mentoring"
17212,"courses_training_or_mentoring"
17211,"courses_training_or_mentoring"
17210,"courses_training_or_mentoring"
17209,"christian"
17208,"courses_training_or_mentoring"
17207,"courses_training_or_mentoring"
17206,"christian"
17205,"courses_training_or_mentoring"
17204,"courses_training_or_mentoring"
17203,"christian"
17202,"courses_training_or_mentoring"
17201,"courses_training_or_mentoring"
17200,"courses_training_or_mentoring"
17199,"courses_training_or_mentoring"
17198,"christian"
17197,"christian"
17196,"courses_training_or_mentoring"
17195,"courses_training_or_mentoring"
17194,"courses_training_or_mentoring"
17193,"courses_training_or_mentoring"
17192,"courses_training_or_mentoring"
17191,"courses_training_or_mentoring"
17190,"courses_training_or_mentoring"
17189,"courses_training_or_mentoring"
17188,"christian"
17187,"courses_training_or_mentoring"
17186,"courses_training_or_mentoring"
17185,"courses_training_or_mentoring"
17184,"courses_training_or_mentoring"
17183,"courses_training_or_mentoring"
17182,"courses_training_or_mentoring"
17181,"courses_training_or_mentoring"
17180,"christian"
17179,"courses_training_or_mentoring"
17178,"christian"
17177,"courses_training_or_mentoring"
17176,"courses_training_or_mentoring"
17175,"courses_training_or_mentoring"
17174,"courses_training_or_mentoring"
17173,"christian"
17172,"courses_training_or_mentoring"
17171,"courses_training_or_mentoring"
17170,"courses_training_or_mentoring"
17169,"courses_training_or_mentoring"
17168,"courses_training_or_mentoring"
17167,"christian"
17166,"courses_training_or_mentoring"
17165,"christian"
17164,"courses_training_or_mentoring"
17163,"courses_training_or_mentoring"
17162,"courses_training_or_mentoring"
17161,"courses_training_or_mentoring"
17160,"courses_training_or_mentoring"
17159,"courses_training_or_mentoring"
17158,"courses_training_or_mentoring"
17157,"christian"
17156,"christian"
17155,"courses_training_or_mentoring"
17154,"christian"
17153,"christian"
17152,"christian"
17151,"courses_training_or_mentoring"
17150,"christian"
17149,"christian"
17148,"christian"
17147,"christian"
17146,"courses_training_or_mentoring"
17145,"christian"
17144,"courses_training_or_mentoring"
17143,"courses_training_or_mentoring"
17142,"courses_training_or_mentoring"
17141,"courses_training_or_mentoring"
17140,"christian"
17139,"courses_training_or_mentoring"
17138,"courses_training_or_mentoring"
17137,"courses_training_or_mentoring"
17136,"courses_training_or_mentoring"
17135,"christian"
17134,"christian"
17133,"courses_training_or_mentoring"
17132,"courses_training_or_mentoring"
17131,"courses_training_or_mentoring"
17130,"courses_training_or_mentoring"
17129,"christian"
17128,"courses_training_or_mentoring"
17127,"christian"
17126,"christian"
17125,"christian"
17124,"courses_training_or_mentoring"
17123,"courses_training_or_mentoring"
17122,"courses_training_or_mentoring"
17121,"courses_training_or_mentoring"
17120,"christian"
17119,"christian"
17118,"courses_training_or_mentoring"
17117,"courses_training_or_mentoring"
